testcenter_id	typ_l	mean	p90	suspicious_des
593	Doctor's or dentist's office	23.5873015873016	23.0205882352941	1
594	Private test center	112.625	347.757593984963	0
595	Pharmacy	108.96	164.238227401301	0
596	Private test center	168.25	347.757593984963	0
597	Private test center	27.4778761061947	347.757593984963	0
598	Private test center	227.245059288538	347.757593984963	0
599	Doctor's or dentist's office	3.14545454545455	23.0205882352941	0
600	Doctor's or dentist's office	5.46808510638298	23.0205882352941	0
601	Private test center	117.778106508876	347.757593984963	0
602	Private test center	110.5	347.757593984963	0
603	Private test center	93.9166666666667	347.757593984963	0
604	Doctor's or dentist's office	2.75409836065574	23.0205882352941	0
605	Private test center	108.514150943396	347.757593984963	0
606	Private test center	256.945945945946	347.757593984963	0
607	Doctor's or dentist's office	2	23.0205882352941	0
608	Private test center	187.948717948718	347.757593984963	0
609	Private test center	356.136842105263	347.757593984963	1
610	Private test center	58.7333333333333	347.757593984963	0
611	Doctor's or dentist's office	1.66666666666667	23.0205882352941	0
612	Private test center	80.4594594594595	347.757593984963	0
613	Doctor's or dentist's office	1	23.0205882352941	0
614	Private test center	4.98235294117647	347.757593984963	0
615	Private test center	137.529850746269	347.757593984963	0
616	Private test center	51.125	347.757593984963	0
617	Private test center	98.5705882352941	347.757593984963	0
618	Doctor's or dentist's office	7.52747252747253	23.0205882352941	0
619	Private test center	164.185430463576	347.757593984963	0
620	Private test center	179.5125	347.757593984963	0
621	Doctor's or dentist's office	2.11111111111111	23.0205882352941	0
622	Doctor's or dentist's office	1.25	23.0205882352941	0
623	Doctor's or dentist's office	1.61538461538462	23.0205882352941	0
624	Private test center	54.0476190476191	347.757593984963	0
625	Private test center	152.402941176471	347.757593984963	0
626	Private test center	2311.54838709677	347.757593984963	1
627	Doctor's or dentist's office	5.74468085106383	23.0205882352941	0
628	Private test center	98.0185185185185	347.757593984963	0
629	Doctor's or dentist's office	7.46078431372549	23.0205882352941	0
630	Private test center	85.8396739130435	347.757593984963	0
631	Private test center	165.630681818182	347.757593984963	0
632	Private test center	786.77868852459	347.757593984963	1
633	Pharmacy	22.0555555555556	164.238227401301	0
634	Doctor's or dentist's office	3.84210526315789	23.0205882352941	0
635	Private test center	290.702819956616	347.757593984963	0
636	Doctor's or dentist's office	13.0749063670412	23.0205882352941	0
637	Private test center	637.305483028721	347.757593984963	1
638	Pharmacy	41.1893939393939	164.238227401301	0
639	Doctor's or dentist's office	1.55	23.0205882352941	0
640	Private test center	254.936842105263	347.757593984963	0
641	Doctor's or dentist's office	42.0625	23.0205882352941	1
642	Pharmacy	66.2363636363636	164.238227401301	0
643	Pharmacy	129.666666666667	164.238227401301	0
644	Doctor's or dentist's office	1.71428571428571	23.0205882352941	0
645	Private test center	69.478431372549	347.757593984963	0
646	Doctor's or dentist's office	4.36363636363636	23.0205882352941	0
647	Doctor's or dentist's office	1.33333333333333	23.0205882352941	0
648	Private test center	16.1276595744681	347.757593984963	0
649	Private test center	1895	347.757593984963	1
650	Doctor's or dentist's office	5.75903614457831	23.0205882352941	0
651	Doctor's or dentist's office	1.72727272727273	23.0205882352941	0
652	Private test center	201.8828125	347.757593984963	0
653	Doctor's or dentist's office	3.70588235294118	23.0205882352941	0
654	Doctor's or dentist's office	37.8821917808219	23.0205882352941	1
655	Private test center	164.91156462585	347.757593984963	0
656	Private test center	58.1511627906977	347.757593984963	0
657	Private test center	196.88603988604	347.757593984963	0
658	Private test center	483	347.757593984963	1
659	Private test center	145.087719298246	347.757593984963	0
660	Private test center	68.8087431693989	347.757593984963	0
661	Private test center	202.895377128954	347.757593984963	0
662	Doctor's or dentist's office	2.31067961165049	23.0205882352941	0
663	Private test center	86.2352941176471	347.757593984963	0
664	Private test center	45.8255813953488	347.757593984963	0
665	Pharmacy	27.7084398976982	164.238227401301	0
666	Private test center	65.24	347.757593984963	0
667	Private test center	177.813559322034	347.757593984963	0
668	Private test center	2539.14634146341	347.757593984963	1
669	Doctor's or dentist's office	27.2365591397849	23.0205882352941	1
670	Private test center	53.3783783783784	347.757593984963	0
671	Doctor's or dentist's office	3.22448979591837	23.0205882352941	0
672	Doctor's or dentist's office	6.16666666666667	23.0205882352941	0
673	Private test center	281.028846153846	347.757593984963	0
674	Pharmacy	24.3620689655172	164.238227401301	0
675	Private test center	61.2954545454545	347.757593984963	0
676	Doctor's or dentist's office	4.40740740740741	23.0205882352941	0
677	Doctor's or dentist's office	2.84615384615385	23.0205882352941	0
678	Private test center	84.4545454545455	347.757593984963	0
679	Doctor's or dentist's office	2	23.0205882352941	0
680	Private test center	158.895043731778	347.757593984963	0
681	Doctor's or dentist's office	2.25	23.0205882352941	0
682	Private test center	111.520833333333	347.757593984963	0
683	Doctor's or dentist's office	1.95555555555556	23.0205882352941	0
684	Doctor's or dentist's office	3.8	23.0205882352941	0
685	Private test center	153	347.757593984963	0
686	Private test center	90.6844660194175	347.757593984963	0
687	Private test center	103.261744966443	347.757593984963	0
688	Doctor's or dentist's office	16.311320754717	23.0205882352941	0
689	Private test center	37.7777777777778	347.757593984963	0
690	Doctor's or dentist's office	34.974025974026	23.0205882352941	1
691	Private test center	107.471428571429	347.757593984963	0
692	Private test center	312.285714285714	347.757593984963	0
693	Doctor's or dentist's office	6.94827586206897	23.0205882352941	0
694	Doctor's or dentist's office	5.17647058823529	23.0205882352941	0
695	Doctor's or dentist's office	11.2083333333333	23.0205882352941	0
696	Doctor's or dentist's office	2.5625	23.0205882352941	0
697	Private test center	175.142857142857	347.757593984963	0
698	Private test center	111	347.757593984963	0
699	Private test center	140.527559055118	347.757593984963	0
700	Doctor's or dentist's office	6.44660194174757	23.0205882352941	0
701	Private test center	188.629955947137	347.757593984963	0
702	Private test center	166.800643086817	347.757593984963	0
703	Doctor's or dentist's office	3.83333333333333	23.0205882352941	0
704	Private test center	225.310043668122	347.757593984963	0
705	Doctor's or dentist's office	8.52631578947368	23.0205882352941	0
706	Private test center	146.552631578947	347.757593984963	0
707	Doctor's or dentist's office	25.6323529411765	23.0205882352941	1
708	Private test center	100.213930348259	347.757593984963	0
709	Private test center	101.157754010695	347.757593984963	0
710	Doctor's or dentist's office	2.92592592592593	23.0205882352941	0
711	Doctor's or dentist's office	3.73333333333333	23.0205882352941	0
712	Private test center	49.1882352941176	347.757593984963	0
713	Private test center	61.637323943662	347.757593984963	0
714	Doctor's or dentist's office	195.636363636364	23.0205882352941	1
715	Doctor's or dentist's office	2.93333333333333	23.0205882352941	0
716	Doctor's or dentist's office	1.66666666666667	23.0205882352941	0
717	Private test center	147.60162601626	347.757593984963	0
718	Private test center	115.182989690722	347.757593984963	0
719	Doctor's or dentist's office	3.26315789473684	23.0205882352941	0
720	Doctor's or dentist's office	18.1176470588235	23.0205882352941	0
721	Private test center	121.443864229765	347.757593984963	0
722	Doctor's or dentist's office	17.9213483146067	23.0205882352941	0
723	Doctor's or dentist's office	3.10714285714286	23.0205882352941	0
724	Doctor's or dentist's office	2.36363636363636	23.0205882352941	0
725	Doctor's or dentist's office	2.91891891891892	23.0205882352941	0
726	Pharmacy	20.2428571428571	164.238227401301	0
727	Doctor's or dentist's office	4.5	23.0205882352941	0
728	Doctor's or dentist's office	1.5	23.0205882352941	0
729	Doctor's or dentist's office	1.65	23.0205882352941	0
730	Pharmacy	61.9032258064516	164.238227401301	0
731	Private test center	77.0666666666667	347.757593984963	0
732	Private test center	181.678191489362	347.757593984963	0
733	Doctor's or dentist's office	5.48529411764706	23.0205882352941	0
734	Doctor's or dentist's office	3	23.0205882352941	0
735	Doctor's or dentist's office	19.8888888888889	23.0205882352941	0
736	Private test center	179.613821138211	347.757593984963	0
737	Doctor's or dentist's office	1	23.0205882352941	0
738	Doctor's or dentist's office	4.0873786407767	23.0205882352941	0
739	Private test center	242.107784431138	347.757593984963	0
740	Doctor's or dentist's office	2	23.0205882352941	0
741	Private test center	144.84375	347.757593984963	0
742	Private test center	453.70802919708	347.757593984963	1
743	Pharmacy	82.8051282051282	164.238227401301	0
744	Pharmacy	28.2358974358974	164.238227401301	0
745	Private test center	387.25	347.757593984963	1
746	Doctor's or dentist's office	1.4	23.0205882352941	0
747	Doctor's or dentist's office	21.5060240963855	23.0205882352941	0
748	Doctor's or dentist's office	16.5	23.0205882352941	0
749	Doctor's or dentist's office	2.5	23.0205882352941	0
750	Doctor's or dentist's office	2.15789473684211	23.0205882352941	0
751	Private test center	86.675	347.757593984963	0
752	Private test center	273.970297029703	347.757593984963	0
753	Pharmacy	104.809523809524	164.238227401301	0
754	Private test center	46.4583333333333	347.757593984963	0
755	Doctor's or dentist's office	24.498727735369	23.0205882352941	1
756	Private test center	402.801393728223	347.757593984963	1
757	Doctor's or dentist's office	9.48214285714286	23.0205882352941	0
758	Private test center	559.454545454545	347.757593984963	1
759	Doctor's or dentist's office	2	23.0205882352941	0
760	Doctor's or dentist's office	84	23.0205882352941	1
761	Doctor's or dentist's office	4.4375	23.0205882352941	0
762	Doctor's or dentist's office	6.34210526315789	23.0205882352941	0
763	Doctor's or dentist's office	29	23.0205882352941	1
764	Private test center	35.2	347.757593984963	0
765	Private test center	143.391891891892	347.757593984963	0
766	Private test center	118.974789915966	347.757593984963	0
767	Pharmacy	34.4367816091954	164.238227401301	0
768	Private test center	193.196153846154	347.757593984963	0
769	Private test center	239.926966292135	347.757593984963	0
770	Doctor's or dentist's office	2.06666666666667	23.0205882352941	0
771	Private test center	153.813186813187	347.757593984963	0
